,na_count,na_percent
Accounting,0,0.0
Administrative Assistance,0,0.0
Architecture,0,0.0
Arts & Entertainment,0,0.0
Banking & Finance,0,0.0
Childcare,0,0.0
Civil Engineering,0,0.0
Cleaning & Sanitation,0,0.0
Community & Social Service,0,0.0
Construction,0,0.0
Customer Service,0,0.0
Data & Analytics,0,0.0
Dental,0,0.0
Driving,0,0.0
Education & Instruction,0,0.0
Electrical Engineering,0,0.0
Food Preparation & Service,0,0.0
Headline,0,0.0
Hospitality & Tourism,0,0.0
Human Resources,0,0.0
"IT Infrastructure, Operations & Support",0,0.0
IT Systems & Solutions,0,0.0
Industrial Engineering,0,0.0
Installation & Maintenance,0,0.0
Legal,0,0.0
Loading & Stocking,0,0.0
Logistic Support,0,0.0
Management,0,0.0
Marketing,0,0.0
Media & Communications,0,0.0
Medical Information,0,0.0
Medical Technician,0,0.0
Nursing,0,0.0
Personal Care & Home Health,0,0.0
Pharmacy,0,0.0
Physicians & Surgeons,0,0.0
Production & Manufacturing,0,0.0
Project Management,0,0.0
Retail,0,0.0
Sales,0,0.0
Scientific Research & Development,0,0.0
Security & Public Safety,0,0.0
Software Development,0,0.0
Sports,0,0.0
Therapy,0,0.0
Veterinary,0,0.0
